Current Loan Amount,Term,Credit Scores,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Annual Debt,Debt to Income Ratio,Debt to Income Ratio G/B,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Utilization Rate Good/Bad,Utilization Rate,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status
10937,Short Term,,8,Own Home,,Debt Consolidation,500.53,6006.36,,Very Bad DTI,8,9,0,Excellent UR,0.3,9661,31779,0,0,
10939,Long Term,721,8,Rent,112321,Debt Consolidation,2358.73,28304.76,0.25,Bad DTI,29.3,9,1,Very Bad UR,0.95,12941,13680,0,0,
10941,Long Term,,9,Home Mortgage,,Debt Consolidation,515.15,6181.8,,Very Bad DTI,14.2,7,0,Good UR,0.45,4807,10755,0,0,
10942,Short Term,716,10,Rent,32827,Debt Consolidation,607.31,7287.72,0.22,Bad DTI,9.9,12,0,Bad UR,0.56,18392,32786,0,0,
10942,Short Term,749,1,Rent,44551,Debt Consolidation,649.71,7796.52,0.18,Good DTI,14.3,8,0,Excellent UR,0.26,1691,6455,0,0,
10944,Long Term,679,5,Home Mortgage,87939,Debt Consolidation,747.48,8969.76,0.1,Excellent DTI,9.7,17,0,Good UR,0.44,14096,32035,0,0,
10946,Long Term,,5,Own Home,,Debt Consolidation,176.89,2122.68,,Very Bad DTI,12.8,6,1,Bad UR,0.57,5486,9674,1,0,
10946,Long Term,,1,Rent,,Debt Consolidation,807.89,9694.68,,Very Bad DTI,14.5,8,1,Very Bad UR,0.75,6039,8063,0,0,
10946,Short Term,735,8,Home Mortgage,102495,Debt Consolidation,310.9,3730.8,0.04,Excellent DTI,23,9,1,Good UR,0.44,3136,7159,1,0,
10947,Short Term,741,1,Rent,32586,Debt Consolidation,480.64,5767.68,0.18,Good DTI,21.5,6,0,Bad UR,0.61,20794,34033,0,0,
10949,Short Term,693,8,Rent,34370,Debt Consolidation,392.39,4708.68,0.14,Good DTI,17.3,7,1,Excellent UR,0.28,6259,22597,0,0,
10952,Short Term,718,1,Rent,32561,Debt Consolidation,621.37,7456.44,0.23,Bad DTI,15.3,10,0,Very Bad UR,0.94,18857,20125,0,0,
10953,Short Term,716,4,Rent,38540,Debt Consolidation,607,7284,0.19,Good DTI,9.7,10,0,Bad UR,0.6,8426,14090,0,0,
10953,Short Term,,10,Home Mortgage,,Debt Consolidation,1332.18,15986.16,,Very Bad DTI,16,15,0,Very Bad UR,0.81,16128,19912,0,0,
10954,Long Term,715,1,Home Mortgage,78031,Debt Consolidation,708.78,8505.36,0.11,Excellent DTI,23.8,8,1,Excellent UR,0.25,1718,6899,1,0,
10955,Short Term,,9,Home Mortgage,,Debt Consolidation,1101.71,13220.52,,Very Bad DTI,16.9,11,0,Bad UR,0.55,23892,43204,0,0,
10955,Short Term,732,5,Home Mortgage,44816,Debt Consolidation,806.68,9680.16,0.22,Bad DTI,15.6,11,0,Very Bad UR,0.84,15996,19111,0,0,
10955,Short Term,731,10,Home Mortgage,71303,Debt Consolidation,273.93,3287.16,0.05,Excellent DTI,22.2,6,1,Bad UR,0.69,8865,12811,1,0,
10955,Short Term,720,3,Home Mortgage,99590,Debt Consolidation,1510.45,18125.4,0.18,Good DTI,11.3,8,0,Bad UR,0.57,6979,12245,0,0,
10960,Short Term,687,2,Rent,32294,Debt Consolidation,414.44,4973.28,0.15,Good DTI,9,17,0,Excellent UR,0.23,3459,14847,0,0,
10962,Long Term,676,4,Home Mortgage,43846,Debt Consolidation,372.69,4472.28,0.1,Excellent DTI,12,6,0,Good UR,0.48,6457,13453,0,0,
10962,Short Term,709,2,Rent,54808,Debt Consolidation,739.9,8878.8,0.16,Good DTI,23.8,15,1,Excellent UR,0.12,3365,27811,1,0,
10962,Short Term,709,2,Rent,54808,Debt Consolidation,739.9,8878.8,0.16,Good DTI,23.8,15,1,Excellent UR,0.12,3365,27811,1,0,
10963,Long Term,627,6,Rent,46210,other,731.67,8780.04,0.19,Good DTI,14.9,7,1,Excellent UR,0.26,2618,10070,1,0,
10965,Short Term,721,10,Rent,71071,Debt Consolidation,474.4,5692.8,0.08,Excellent DTI,15,20,0,Good UR,0.47,16136,34701,0,0,
10966,Short Term,,4,Own Home,,Debt Consolidation,872.29,10467.48,,Very Bad DTI,7.9,7,0,Bad UR,0.7,6683,9575,0,0,
10968,Short Term,741,10,Home Mortgage,51849,Debt Consolidation,704.28,8451.36,0.16,Good DTI,13.4,18,0,Good UR,0.44,15186,34357,0,0,
10969,Short Term,696,3,Rent,34433,Debt Consolidation,814.91,9778.92,0.28,Bad DTI,19.4,12,1,Very Bad UR,0.84,10297,12302,1,0,
10973,Short Term,719,2,Rent,35114,other,216.83,2601.96,0.07,Excellent DTI,6.8,11,0,Excellent UR,0.26,4702,18226,0,0,
10974,Short Term,722,3,Rent,38906,Debt Consolidation,586.84,7042.08,0.18,Good DTI,20.5,7,1,Good UR,0.39,2541,6481,1,0,
10975,Short Term,733,7,Rent,50883,Debt Consolidation,517.31,6207.72,0.12,Good DTI,15.6,15,0,Bad UR,0.5,5685,11280,0,0,
10976,Short Term,736,2,Rent,44901,Debt Consolidation,845.64,10147.68,0.23,Bad DTI,5.9,5,0,Very Bad UR,0.91,10317,11375,0,0,
10977,Long Term,670,1,Rent,32343,Debt Consolidation,676.51,8118.12,0.25,Bad DTI,10.3,9,0,Excellent UR,0.18,5515,31514,0,0,
10977,Long Term,670,1,Rent,32343,Debt Consolidation,676.51,8118.12,0.25,Bad DTI,10.3,9,0,Excellent UR,0.18,5515,31514,0,0,
10977,Short Term,,10,Rent,,Debt Consolidation,968.12,11617.44,,Very Bad DTI,19.9,5,1,Very Bad UR,0.88,9095,10370,1,0,
10978,Short Term,720,3,Rent,45743,Debt Consolidation,1025.39,12304.68,0.27,Bad DTI,13.9,16,0,Very Bad UR,0.79,13658,17376,0,0,
10978,Short Term,720,3,Rent,45743,Debt Consolidation,1025.39,12304.68,0.27,Bad DTI,13.9,16,0,Very Bad UR,0.79,13658,17376,0,0,
10984,Short Term,724,5,Rent,95814,Debt Consolidation,482.26,5787.12,0.06,Excellent DTI,8,2,0,Excellent UR,0.3,3487,11434,0,0,
10984,Long Term,,2,Home Mortgage,,Debt Consolidation,169.77,2037.24,,Very Bad DTI,12.3,5,1,Very Bad UR,0.78,6776,8643,1,0,
10986,Long Term,729,4,Rent,56926,Debt Consolidation,1669.83,20037.96,0.35,Very Bad DTI,17.3,16,0,Bad UR,0.6,33261,55527,0,0,
10987,Short Term,710,,Home Mortgage,45464,Debt Consolidation,556.93,6683.16,0.15,Good DTI,26.8,10,0,Bad UR,0.67,6618,9908,0,0,
10989,Long Term,717,1,Rent,58872,Debt Consolidation,484.71,5816.52,0.1,Excellent DTI,8.7,7,0,Very Bad UR,1,13873,13929,0,0,
10990,Long Term,635,6,Home Mortgage,61056,Debt Consolidation,354.12,4249.44,0.07,Excellent DTI,13,10,0,Very Bad UR,0.97,16240,16691,0,0,
10991,Short Term,737,10,Home Mortgage,59952,Debt Consolidation,879.3,10551.6,0.18,Good DTI,21.6,11,1,Excellent UR,0.24,5496,23286,1,0,
10991,Short Term,748,10,Rent,61950,Debt Consolidation,645.31,7743.72,0.12,Good DTI,13.6,8,0,Good UR,0.48,11777,24382,0,0,
10992,Short Term,713,10,Home Mortgage,54962,Debt Consolidation,226.72,2720.64,0.05,Excellent DTI,24.5,8,0,Very Bad UR,0.82,4901,5998,0,0,
10995,Long Term,725,10,Home Mortgage,49085,Home Improvements,344.82,4137.84,0.08,Excellent DTI,10.1,6,0,Excellent UR,0.13,873,6662,0,0,
10996,Short Term,709,10,Home Mortgage,31914,other,614.35,7372.2,0.23,Bad DTI,18.5,22,0,Good UR,0.43,16614,38369,0,0,
10996,Short Term,,10,Rent,,Debt Consolidation,757.31,9087.72,,Very Bad DTI,16.4,6,1,Bad UR,0.69,4567,6638,1,0,
11001,Long Term,713,10,Home Mortgage,68754,Debt Consolidation,1306.33,15675.96,0.23,Bad DTI,23.1,13,0,Very Bad UR,0.74,35952,48849,0,0,
11003,Long Term,,10,Rent,,Debt Consolidation,781.99,9383.88,,Very Bad DTI,17,15,1,Very Bad UR,0.71,6541,9238,1,0,
11005,Long Term,712,9,Rent,83521,Debt Consolidation,1252.82,15033.84,0.18,Good DTI,12.7,7,1,Good UR,0.39,6477,16694,0,0,
11006,Short Term,739,1,Home Mortgage,71756,Debt Consolidation,1213.87,14566.44,0.2,Good DTI,15.4,26,0,Excellent UR,0.29,15092,51861,0,0,
11006,Short Term,,10,Home Mortgage,,Debt Consolidation,921.45,11057.4,,Very Bad DTI,28.7,7,0,Good UR,0.5,19703,39643,0,0,
11006,Short Term,723,8,Rent,38194,Debt Consolidation,611.1,7333.2,0.19,Good DTI,10.9,13,0,Bad UR,0.6,9196,15377,0,0,
11008,Short Term,708,4,Home Mortgage,67047,other,81.58,978.96,0.01,Excellent DTI,15.4,7,0,Excellent UR,0.2,1456,7317,0,0,
11010,Short Term,729,9,Home Mortgage,70385,Debt Consolidation,556.04,6672.48,0.09,Excellent DTI,13.4,15,0,Very Bad UR,0.72,8850,12361,0,0,
11013,Long Term,,5,Own Home,,Debt Consolidation,857.07,10284.84,,Very Bad DTI,21.1,12,0,Excellent UR,0.29,9769,34036,0,0,
11015,Short Term,,1,Rent,,Debt Consolidation,510.14,6121.68,,Very Bad DTI,17.2,3,0,Very Bad UR,0.75,14006,18675,0,0,
11015,Short Term,,,Rent,,Debt Consolidation,1364.41,16372.92,,Very Bad DTI,18.2,10,0,Bad UR,0.54,10065,18743,0,0,
11017,Short Term,734,10,Home Mortgage,39348,Debt Consolidation,577.11,6925.32,0.18,Good DTI,18.3,5,0,Good UR,0.45,6593,14749,0,0,
11019,Long Term,736,10,Home Mortgage,55228,Debt Consolidation,833.01,9996.12,0.18,Good DTI,17,22,0,Excellent UR,0.26,9284,36407,0,0,
11024,Short Term,698,,Rent,30670,Debt Consolidation,707.97,8495.64,0.28,Bad DTI,14.2,13,2,Very Bad UR,0.72,13279,18366,0,0,
11024,Short Term,718,1,Rent,60132,Debt Consolidation,596.31,7155.72,0.12,Good DTI,8.9,12,0,Excellent UR,0.25,7395,29581,0,0,
11025,Short Term,738,9,Rent,45104,Debt Consolidation,672.79,8073.48,0.18,Good DTI,21.7,4,1,Bad UR,0.67,11460,17029,1,0,
11026,Long Term,738,10,Home Mortgage,78760,Debt Consolidation,1378.3,16539.6,0.21,,17.5,18,0,Good UR,0.46,24182,52230,0,0,
11029,Short Term,751,10,Home Mortgage,90234,Debt Consolidation,1000.09,12001.08,0.13,Good DTI,13.1,9,0,Excellent UR,0.28,10281,37249,0,0,
11030,Long Term,,9,Rent,,Debt Consolidation,1078.85,12946.2,,Very Bad DTI,27.5,15,1,Good UR,0.33,6317,19144,1,0,
11030,Long Term,688,4,Rent,60162,Debt Consolidation,403.09,4837.08,0.08,Excellent DTI,25.3,9,0,Very Bad UR,0.92,12832,13933,0,0,
11031,Short Term,738,10,Home Mortgage,39109,Debt Consolidation,788.7,9464.4,0.24,Bad DTI,20,13,0,Bad UR,0.66,16113,24267,0,0,
11031,Short Term,747,6,Home Mortgage,58704,Debt Consolidation,1306.16,15673.92,0.27,Bad DTI,22.6,10,0,Very Bad UR,0.78,19269,24767,0,0,
11032,Long Term,670,10,Rent,42355,Debt Consolidation,557.68,6692.16,0.16,Good DTI,19.3,7,0,Bad UR,0.57,11230,19702,0,0,
11032,Long Term,692,4,Rent,42824,Debt Consolidation,1027.77,12333.24,0.29,Bad DTI,11.4,18,0,Good UR,0.44,7053,15850,0,0,
11032,Short Term,714,7,Rent,34471,Debt Consolidation,522.81,6273.72,0.18,Good DTI,10.5,10,0,Very Bad UR,0.76,13434,17699,0,0,
11034,Long Term,669,10,Home Mortgage,43943,Debt Consolidation,1226.73,14720.76,0.33,Very Bad DTI,13.4,13,0,Very Bad UR,0.74,10312,13973,0,0,
11038,Long Term,703,9,Rent,36464,Debt Consolidation,747.5,8970,0.25,Bad DTI,4.9,14,0,Good UR,0.41,13270,32523,0,0,
11039,Short Term,742,1,Rent,60210,Debt Consolidation,712.49,8549.88,0.14,Good DTI,7,5,0,Bad UR,0.66,10269,15559,0,0,
11040,Short Term,744,2,Home Mortgage,50180,Debt Consolidation,1187.59,14251.08,0.28,Bad DTI,12.1,21,0,Bad UR,0.61,10578,17456,0,0,
11042,Long Term,710,10,Home Mortgage,49295,Debt Consolidation,1121.46,13457.52,0.27,Bad DTI,30.5,10,0,Bad UR,0.68,19746,29166,0,0,
11044,Short Term,726,1,Rent,41447,Debt Consolidation,1015.45,12185.4,0.29,Bad DTI,16.2,11,0,Very Bad UR,0.73,9304,12745,0,0,
11044,Short Term,740,5,Home Mortgage,68041,Debt Consolidation,1355.15,16261.8,0.24,Bad DTI,12.8,18,1,Good UR,0.42,13426,31966,1,0,
11045,Long Term,705,10,Rent,45185,Debt Consolidation,719.19,8630.28,0.19,Good DTI,31.4,15,0,Good UR,0.44,10085,22715,0,0,
11045,Short Term,734,10,Rent,153405,Debt Consolidation,862.9,10354.8,0.07,Excellent DTI,27.6,12,0,Excellent UR,0.26,10912,41970,0,0,
11048,Short Term,686,10,Rent,51224,Debt Consolidation,896.43,10757.16,0.21,Bad DTI,21.3,9,0,Very Bad UR,0.87,8314,9546,0,0,
11048,Short Term,748,3,Home Mortgage,46281,Buy House,516.81,6201.72,0.13,Good DTI,21.6,7,0,Excellent UR,0.12,2176,18284,0,0,
11049,Short Term,702,4,Rent,85826,Debt Consolidation,936.93,11243.16,0.13,Good DTI,9.5,13,0,Very Bad UR,0.86,19933,23178,0,0,
11054,Short Term,751,10,Home Mortgage,82402,Debt Consolidation,1091.82,13101.84,0.16,Good DTI,23.6,8,0,Bad UR,0.56,7996,14279,0,0,
11054,Short Term,722,5,Home Mortgage,44901,Debt Consolidation,1006.53,12078.36,0.27,Bad DTI,31.7,15,0,Very Bad UR,0.7,21871,31156,0,0,
11056,Short Term,702,3,Own Home,30740,Debt Consolidation,420.11,5041.32,0.16,Good DTI,18.8,9,2,Good UR,0.46,5808,12598,2,0,
11059,Long Term,710,4,Rent,33382,Debt Consolidation,745.54,8946.48,0.27,Bad DTI,19.9,11,0,Bad UR,0.5,10051,19981,0,0,
11059,Long Term,732,3,Home Mortgage,34559,Debt Consolidation,812.14,9745.68,0.28,Bad DTI,12,24,0,Excellent UR,0.28,13886,50494,0,0,
11062,Short Term,731,10,Home Mortgage,61458,Debt Consolidation,1019.18,12230.16,0.2,Good DTI,18,16,0,Good UR,0.48,9424,19470,0,0,
11063,Short Term,728,3,Rent,42097,Debt Consolidation,852.46,10229.52,0.24,Bad DTI,7.5,10,0,Very Bad UR,0.93,18015,19287,0,0,
11064,Short Term,694,3,Own Home,39340,Debt Consolidation,409.79,4917.48,0.12,Good DTI,11.7,10,0,Good UR,0.48,4571,9445,0,0,
11065,Short Term,726,5,Own Home,75615,Debt Consolidation,2161.33,25935.96,0.34,Very Bad DTI,18.2,14,0,Bad UR,0.53,58090,108580,0,0,
11066,Long Term,698,9,Home Mortgage,108680,Home Improvements,3043.04,36516.48,0.34,Very Bad DTI,15.5,19,0,Excellent UR,0.3,3012,10177,0,0,
11067,Short Term,743,10,Own Home,48293,Debt Consolidation,925.61,11107.32,0.23,Bad DTI,28.4,13,0,Good UR,0.31,4262,13572,0,0,
11067,Long Term,680,8,Rent,41250,Debt Consolidation,673.75,8085,0.2,Good DTI,9.1,10,1,Very Bad UR,0.74,9686,13088,1,0,
11070,Short Term,723,7,Home Mortgage,86522,Debt Consolidation,2357.71,28292.52,0.33,Very Bad DTI,19.1,22,0,Bad UR,0.68,31010,45470,0,0,
11070,Long Term,708,1,Rent,65416,Debt Consolidation,992.14,11905.68,0.18,Good DTI,14.7,8,0,Very Bad UR,0.97,11407,11772,0,0,
11071,Long Term,727,10,Home Mortgage,67218,Debt Consolidation,1103.49,13241.88,0.2,Good DTI,19.3,9,1,Good UR,0.5,6354,12760,1,0,
11071,Short Term,741,3,Home Mortgage,69195,Debt Consolidation,651.59,7819.08,0.11,Good DTI,13.1,13,0,Bad UR,0.55,15048,27560,0,0,
11073,Short Term,,,Rent,,Debt Consolidation,1479.3,17751.6,,Very Bad DTI,14,23,0,Bad UR,0.58,3467,5957,0,0,
11075,Short Term,715,3,Rent,65755,Debt Consolidation,311.24,3734.88,0.06,Excellent DTI,15.6,6,0,Very Bad UR,0.76,14999,19684,0,0,
11075,Short Term,715,3,Rent,65755,Debt Consolidation,311.24,3734.88,0.06,Excellent DTI,15.6,6,0,Very Bad UR,0.76,14999,19684,0,0,
11075,Short Term,734,3,Home Mortgage,55374,Debt Consolidation,812.16,9745.92,0.18,Good DTI,14.6,9,2,Very Bad UR,0.77,5324,6950,1,0,
11076,Long Term,662,4,Rent,35921,Debt Consolidation,137.7,1652.4,0.05,Excellent DTI,12,10,0,Excellent UR,0.3,2996,9988,0,0,
11077,Long Term,721,10,Rent,45494,Debt Consolidation,138.38,1660.56,0.04,Excellent DTI,18.8,11,0,Excellent UR,0.15,3799,25842,0,0,
11077,Long Term,,7,Rent,,Debt Consolidation,1004.81,12057.72,,Very Bad DTI,19.7,9,1,Good UR,0.35,2982,8520,1,0,
11077,Short Term,742,10,Rent,37251,Debt Consolidation,350.78,4209.36,0.11,Good DTI,26.9,8,0,Very Bad UR,0.95,14274,15042,0,0,
11077,Long Term,711,7,Rent,73523,Debt Consolidation,1004.81,12057.72,0.16,Good DTI,19.7,9,1,Good UR,0.35,2982,8520,1,0,
11078,Long Term,722,8,Rent,34773,Other,72.16,865.92,0.02,Excellent DTI,10,5,0,Excellent UR,0.14,2094,14645,0,0,
11079,Long Term,665,10,Home Mortgage,58103,Business Loan,179.15,2149.8,0.04,Excellent DTI,14.5,4,0,Excellent UR,0.09,148,1687,0,0,
11081,Short Term,675,10,Rent,42117,Debt Consolidation,123.9,1486.8,0.04,Excellent DTI,12,2,0,Bad UR,0.51,6981,13797,0,0,
11081,Short Term,751,10,Own Home,43318,Debt Consolidation,851.93,10223.16,0.24,Bad DTI,23.7,21,0,Excellent UR,0.11,31376,277668,0,0,
11083,Short Term,719,1,Rent,33864,Debt Consolidation,132.07,1584.84,0.05,Excellent DTI,10.9,10,2,Good UR,0.49,3134,6449,0,2,
11083,Short Term,,10,Home Mortgage,,Debt Consolidation,1146.03,13752.36,,Very Bad DTI,16,12,0,Bad UR,0.6,15144,25409,0,0,
11087,Short Term,727,10,Rent,40586,Debt Consolidation,1139.79,13677.48,0.34,Very Bad DTI,15,16,1,Bad UR,0.68,9831,14456,1,0,
11091,Long Term,676,10,Home Mortgage,24758,Debt Consolidation,786.05,9432.6,0.38,Very Bad DTI,31.3,15,2,Bad UR,0.53,10851,20512,1,1,
11091,Long Term,601,5,Home Mortgage,45896,Home Improvements,642.54,7710.48,0.17,Good DTI,8.8,28,0,Very Bad UR,0.83,5446,6530,0,0,
11091,Long Term,,10,Home Mortgage,,Debt Consolidation,786.05,9432.6,,Very Bad DTI,31.3,15,2,Bad UR,0.53,10851,20512,1,1,
11092,Long Term,,,Home Mortgage,,Debt Consolidation,861.65,10339.8,,Very Bad DTI,20.4,14,0,Excellent UR,0.27,5969,22026,0,0,
11094,Short Term,,10,Rent,,Debt Consolidation,327.85,3934.2,,Very Bad DTI,17.6,6,0,Excellent UR,0.25,11800,46276,0,0,
11095,Short Term,700,1,Rent,48413,Debt Consolidation,919.84,11038.08,0.23,Bad DTI,15.9,14,0,Very Bad UR,0.96,10299,10694,0,0,
11095,Short Term,721,2,Rent,37897,Debt Consolidation,546.35,6556.2,0.17,Good DTI,14.2,10,1,Good UR,0.46,5903,12832,1,0,
11095,Short Term,721,2,Rent,37897,Debt Consolidation,546.35,6556.2,0.17,Good DTI,14.2,10,1,Good UR,0.46,5903,12832,1,0,
11099,Long Term,669,1,Rent,36572,Debt Consolidation,224.62,2695.44,0.07,Excellent DTI,7.8,4,0,Very Bad UR,0.99,6425,6503,0,0,
11101,Long Term,,1,Rent,,Debt Consolidation,766.24,9194.88,,Very Bad DTI,17,9,0,Very Bad UR,0.8,3900,4869,0,0,
11105,Short Term,743,6,Rent,64019,Debt Consolidation,1301.71,15620.52,0.24,Bad DTI,28,19,0,Bad UR,0.54,17593,32580,0,0,
11105,Long Term,680,4,Home Mortgage,55649,Debt Consolidation,477.65,5731.8,0.1,Excellent DTI,13.4,11,1,Excellent UR,0.17,1814,10427,0,0,
11106,Short Term,743,7,Home Mortgage,163555,Home Improvements,1908.14,22897.68,0.14,Good DTI,16.9,14,0,Very Bad UR,0.82,13855,16958,0,0,
11107,Short Term,751,4,Own Home,75728,Debt Consolidation,687.86,8254.32,0.11,Excellent DTI,14.9,15,0,Excellent UR,0.05,1828,38074,0,0,
11107,Short Term,741,10,Home Mortgage,42407,Debt Consolidation,523.02,6276.24,0.15,Good DTI,38.7,13,0,Bad UR,0.6,19905,33231,0,0,
11109,Short Term,719,7,Home Mortgage,204331,Debt Consolidation,1360.51,16326.12,0.08,Excellent DTI,15,6,0,Very Bad UR,1,59406,59406,0,0,
11110,Long Term,696,4,Home Mortgage,129536,Buy a Car,1662.38,19948.56,0.15,Good DTI,27,27,0,Excellent UR,0.11,11967,104065,0,0,
11110,Short Term,744,1,Rent,55550,Debt Consolidation,629.56,7554.72,0.14,Good DTI,12.6,4,0,Very Bad UR,0.93,2244,2424,0,0,
11114,Long Term,721,9,Rent,49615,Debt Consolidation,1203.16,14437.92,0.29,Bad DTI,14.7,30,0,Good UR,0.33,9560,29058,0,0,
11116,Short Term,735,8,Rent,38348,Debt Consolidation,791.26,9495.12,0.25,Bad DTI,20.8,12,1,Bad UR,0.61,12902,21221,1,0,
11118,Long Term,703,1,Home Mortgage,28364,Debt Consolidation,609.83,7317.96,0.26,Bad DTI,14.1,5,0,Very Bad UR,0.9,10738,11957,0,0,
11119,Short Term,,3,Rent,,Debt Consolidation,494.31,5931.72,,Very Bad DTI,15.6,9,0,Very Bad UR,0.75,26784,35713,0,0,
11120,Short Term,729,,Home Mortgage,26628,Debt Consolidation,421.61,5059.32,0.19,Good DTI,19.1,10,0,Good UR,0.48,9816,20408,0,0,
11121,Short Term,685,8,Own Home,42462,small_business,481.24,5774.88,0.14,Good DTI,19,9,0,Good UR,0.46,10638,23075,0,0,
11122,Short Term,742,9,Own Home,69925,Debt Consolidation,1177.06,14124.72,0.2,Good DTI,17.7,8,0,,,0,0,0,0,
11122,Long Term,704,10,Rent,106407,Debt Consolidation,1276.88,15322.56,0.14,Good DTI,27,12,1,Good UR,0.45,3226,7200,1,0,
11123,Short Term,,9,Home Mortgage,,Debt Consolidation,1209.65,14515.8,,Very Bad DTI,21.1,17,0,Bad UR,0.51,18917,37091,0,0,
11125,Short Term,735,7,Rent,41467,Debt Consolidation,597.82,7173.84,0.17,Good DTI,17.3,7,0,Good UR,0.5,7508,15076,0,0,
11125,Short Term,733,8,Home Mortgage,88404,Debt Consolidation,773.53,9282.36,0.1,Excellent DTI,18.6,13,0,Bad UR,0.59,9522,16085,0,0,
11127,Short Term,747,3,Home Mortgage,50575,Debt Consolidation,1378.17,16538.04,0.33,Very Bad DTI,13.9,19,0,Excellent UR,0.28,9483,34358,0,0,
11128,Short Term,,5,Rent,,Debt Consolidation,1090.92,13091.04,,Very Bad DTI,16.8,7,0,Very Bad UR,0.86,38648,45202,0,0,
11129,Short Term,,3,Rent,,Debt Consolidation,532.02,6384.24,,Very Bad DTI,11.6,5,0,Excellent UR,0.05,679,13851,0,0,
11133,Long Term,,4,Home Mortgage,,Debt Consolidation,358.54,4302.48,,Very Bad DTI,14.4,6,1,Bad UR,0.68,7529,11137,0,1,
11133,Short Term,695,4,Rent,43520,Debt Consolidation,747.1,8965.2,0.21,Good DTI,15.5,14,0,Bad UR,0.61,8843,14379,0,0,
11133,Long Term,704,4,Home Mortgage,65787,Debt Consolidation,358.54,4302.48,0.07,Excellent DTI,14.4,6,1,Bad UR,0.68,7529,11137,0,1,
11133,Long Term,,10,Home Mortgage,,Debt Consolidation,728.93,8747.16,,Very Bad DTI,6,7,0,Very Bad UR,0.92,13870,15011,0,0,
11133,Long Term,725,10,Home Mortgage,49700,Debt Consolidation,728.93,8747.16,0.18,Good DTI,6,7,0,Very Bad UR,0.92,13870,15011,0,0,
11136,Short Term,702,1,Own Home,37204,Debt Consolidation,651.07,7812.84,0.21,,8,16,0,Good UR,0.48,11412,23825,0,0,
11138,Long Term,,7,Rent,,Debt Consolidation,986.13,11833.56,,Very Bad DTI,15.4,7,0,Bad UR,0.64,5583,8738,0,0,
11139,Short Term,697,9,Own Home,148515,other,2376.24,28514.88,0.19,Good DTI,31.4,10,0,Excellent UR,0.22,19989,91693,0,0,
11139,Short Term,,9,Home Mortgage,,Debt Consolidation,835.4,10024.8,,Very Bad DTI,9.3,7,0,Good UR,0.37,9715,26616,0,0,
11143,Short Term,,1,Rent,,Debt Consolidation,596.52,7158.24,,Very Bad DTI,13.7,16,0,Bad UR,0.69,14736,21450,0,0,
11144,Short Term,705,10,Rent,67114,Debt Consolidation,732.66,8791.92,0.13,Good DTI,16.4,13,1,Excellent UR,0.12,4386,36861,1,0,
11146,Long Term,,10,Rent,,Debt Consolidation,802.84,9634.08,,Very Bad DTI,15.3,12,0,Good UR,0.34,6855,20461,0,0,
11147,Short Term,708,10,Rent,32190,Debt Consolidation,156.66,1879.92,0.06,Excellent DTI,20.9,4,1,Very Bad UR,0.95,3543,3714,1,0,
11148,Long Term,706,10,Home Mortgage,68453,other,382.19,4586.28,0.07,Excellent DTI,25,14,0,Good UR,0.48,6069,12722,0,0,
11148,Long Term,,10,Home Mortgage,,other,382.19,4586.28,,Very Bad DTI,25,14,0,Good UR,0.48,6069,12722,0,0,
11148,Short Term,717,10,Home Mortgage,61608,Debt Consolidation,1031.93,12383.16,0.2,Good DTI,18.2,11,0,Bad UR,0.56,17810,31577,0,0,
11149,Long Term,683,8,Home Mortgage,48211,Debt Consolidation,823.61,9883.32,0.21,Good DTI,9.5,7,0,Excellent UR,0.3,3994,13271,0,0,
11154,Short Term,734,10,Home Mortgage,50245,Debt Consolidation,849.97,10199.64,0.2,Good DTI,22.9,12,0,Very Bad UR,0.81,13051,16072,0,0,
11157,Long Term,734,10,Rent,42643,Other,578.17,6938.04,0.16,Good DTI,17,11,0,Bad UR,0.55,4277,7820,0,0,
11157,Short Term,725,10,Home Mortgage,27827,Debt Consolidation,324.66,3895.92,0.14,Good DTI,13.9,7,0,Very Bad UR,0.87,10313,11868,0,0,
11166,Short Term,724,10,Rent,101510,Debt Consolidation,1082.78,12993.36,0.13,Good DTI,17.2,11,0,Very Bad UR,0.91,17501,19296,0,0,
11168,Long Term,673,2,Home Mortgage,64812,Debt Consolidation,1123.4,13480.8,0.21,Good DTI,21.5,15,1,Good UR,0.38,5081,13372,1,0,
11169,Short Term,714,7,Rent,76764,Debt Consolidation,710.07,8520.84,0.11,Good DTI,20,7,0,Very Bad UR,0.91,6669,7313,0,0,
11170,Short Term,697,10,Home Mortgage,73485,Debt Consolidation,608.7,7304.4,0.1,Excellent DTI,17.4,11,1,Excellent UR,0.31,13045,42354,1,0,
11178,Long Term,720,10,Home Mortgage,95523,other,1679.61,20155.32,0.21,Bad DTI,19.8,8,0,Very Bad UR,0.79,15198,19214,0,0,
11178,Long Term,716,10,Home Mortgage,50925,Debt Consolidation,1646.58,19758.96,0.39,Very Bad DTI,15.7,8,0,Very Bad UR,0.96,47170,48881,0,0,
11179,Short Term,707,10,Rent,53897,Debt Consolidation,902.78,10833.36,0.2,Good DTI,14.9,8,0,Very Bad UR,0.76,13389,17663,0,0,
